,jobID,agency,businessTitle,#ofPositions,jobCategory,salaryRangeFrom,salaryRangeTo,workLocation1
42,245324,DEPARTMENT OF TRANSPORTATION,Staff Analyst 2,1,"Finance, Accounting, & Procurement",56458.0,72310.0,"55 Water Street, NY, NY"
43,246892,DEPT OF ENVIRONMENT PROTECTION,Budget Analyst,1,"Finance, Accounting, & Procurement Policy & Analysis",56458.0,64927.0,59-17 Junction Blvd Corona NY 11373
44,247403,LAW DEPARTMENT,Office Manager,1,Clerical & Administrative Support,32888.0,53281.0,198 E 161st Street
45,249126,DEPT OF ENVIRONMENT PROTECTION,Mechanical Engineer,1,"Engineering, Architecture, & Planning",72805.0,101148.0,96-05 Horace Harding Expway
46,249126,DEPT OF ENVIRONMENT PROTECTION,Mechanical Engineer,1,"Engineering, Architecture, & Planning",72805.0,101148.0,96-05 Horace Harding Expway
47,251630,DEPT OF ENVIRONMENT PROTECTION,Retrofit Accelerator Outreach and Marketing Coordinator,1,"Finance, Accounting, & Procurement Policy, Research & Analysis",48895.0,75900.0,253 Broadway New York NY
48,251630,DEPT OF ENVIRONMENT PROTECTION,Retrofit Accelerator Outreach and Marketing Coordinator,1,"Finance, Accounting, & Procurement Policy, Research & Analysis",48895.0,75900.0,253 Broadway New York NY
49,252976,DEPT OF INFO TECH & TELECOMM,Senior Technology Analyst/Coordinator,1,"Technology, Data & Innovation",61995.0,71294.0,"Brooklyn, NY"
50,254594,DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 3,1,"Engineering, Architecture, & Planning",81443.0,110413.0,"96-05 Horace Harding Expway Corona, NY  11368"
51,254594,DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 3,1,"Engineering, Architecture, & Planning",81443.0,110413.0,"96-05 Horace Harding Expway Corona, NY  11368"
52,254599,DEPT OF ENVIRONMENT PROTECTION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",72805.0,101148.0,"96-05 Horace Harding Expway Corona, NY  11368"
53,254599,DEPT OF ENVIRONMENT PROTECTION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",72805.0,101148.0,"96-05 Horace Harding Expway Corona, NY  11368"
54,261127,DEPT OF ENVIRONMENT PROTECTION,Associate Public Health Sanitarian 2,2,Health,60673.0,91795.0,"96-05 Horace Harding Expway Corona, NY  11368"
55,261127,DEPT OF ENVIRONMENT PROTECTION,Associate Public Health Sanitarian 2,2,Health,60673.0,91795.0,"96-05 Horace Harding Expway Corona, NY  11368"
56,261862,DEPARTMENT OF TRANSPORTATION,Senior Port Engineer,1,"Engineering, Architecture, & Planning Building Operations & Maintenance",60435.0,135000.0,"1 Bay Street, Staten Island, NY 10301"
57,261862,DEPARTMENT OF TRANSPORTATION,Senior Port Engineer,1,"Engineering, Architecture, & Planning Building Operations & Maintenance",60435.0,135000.0,"1 Bay Street, Staten Island, NY 10301"
58,266372,DEPT OF ENVIRONMENT PROTECTION,Senior Project Manager,2,"Policy, Research & Analysis",49990.0,80000.0,253 Broadway New York NY 11373
59,266372,DEPT OF ENVIRONMENT PROTECTION,Senior Project Manager,2,"Policy, Research & Analysis",49990.0,80000.0,253 Broadway New York NY 11373
60,268803,DEPARTMENT OF TRANSPORTATION,Waterfront Facilities Engineer,4,"Engineering, Architecture, & Planning",48535.0,105000.0,"1 Bay Street, Staten Island, NY 10301"
61,268803,DEPARTMENT OF TRANSPORTATION,Waterfront Facilities Engineer,4,"Engineering, Architecture, & Planning",48535.0,105000.0,"1 Bay Street, Staten Island, NY 10301"
62,269306,DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,1,"Engineering, Architecture, & Planning",63074.0,91347.0,"96-05 Horace Harding Expway Corona, NY  11368"
63,269306,DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,1,"Engineering, Architecture, & Planning",63074.0,91347.0,"96-05 Horace Harding Expway Corona, NY  11368"
64,269889,POLICE DEPARTMENT,"Quality Assurance Manager, Crime Scene Unit, M-II",1,"Public Safety, Inspections, & Enforcement",60435.0,161497.0,"150-14 Jamaica Avenue, Queens"
65,269889,POLICE DEPARTMENT,"Quality Assurance Manager, Crime Scene Unit, M-II",1,"Public Safety, Inspections, & Enforcement",60435.0,161497.0,"150-14 Jamaica Avenue, Queens"
66,272406,DEPARTMENT OF TRANSPORTATION,Resiliency Engineer,2,"Engineering, Architecture, & Planning",85000.0,105000.0,"1 Bay Street, Staten Island, NY 10301"
67,272406,DEPARTMENT OF TRANSPORTATION,Resiliency Engineer,2,"Engineering, Architecture, & Planning",85000.0,105000.0,"1 Bay Street, Staten Island, NY 10301"
68,272598,DEPT OF ENVIRONMENT PROTECTION,"Supervisor, EHS Facility Compliance â€“ Downstate Division",1,"Public Safety, Inspections, & Enforcement",66390.0,97379.0,"3701 Jerome Avenue Bronx, NY 10467"
69,272598,DEPT OF ENVIRONMENT PROTECTION,"Supervisor, EHS Facility Compliance â€“ Downstate Division",1,"Public Safety, Inspections, & Enforcement",66390.0,97379.0,"3701 Jerome Avenue Bronx, NY 10467"
70,273270,DEPT OF ENVIRONMENT PROTECTION,"Director, Capital Budget",1,"Finance, Accounting, & Procurement Policy, Research & Analysis",105000.0,125000.0,59-17 Junction Blvd Corona NY 11373
71,273270,DEPT OF ENVIRONMENT PROTECTION,"Director, Capital Budget",1,"Finance, Accounting, & Procurement Policy, Research & Analysis",105000.0,125000.0,59-17 Junction Blvd Corona NY 11373
72,274845,DEPT OF ENVIRONMENT PROTECTION,Administrative Engineer,1,"Engineering, Architecture, & Planning",90000.0,105000.0,"16 Little Hollow Road Grahamsville, NY 12740"
73,274845,DEPT OF ENVIRONMENT PROTECTION,Administrative Engineer,1,"Engineering, Architecture, & Planning",90000.0,105000.0,"16 Little Hollow Road Grahamsville, NY 12740"
74,276678,DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,2,Building Operations & Maintenance,38197.0,55870.0,"10 Walker Road Valhalla, NY10595"
75,276678,DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,2,Building Operations & Maintenance,38197.0,55870.0,"10 Walker Road Valhalla, NY10595"
76,276736,DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Auditor,1,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",78630.0,103332.0,59-17 Junction Blvd Corona Ny
77,276736,DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Auditor,1,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",78630.0,103332.0,59-17 Junction Blvd Corona Ny
78,276892,DEPARTMENT OF TRANSPORTATION,Clerical Associate 3,1,"Public Safety, Inspections, & Enforcement",33875.0,54879.0,55 Water St Ny Ny
79,276892,DEPARTMENT OF TRANSPORTATION,Clerical Associate 3,1,"Public Safety, Inspections, & Enforcement",33875.0,54879.0,55 Water St Ny Ny
80,279697,DISTRICT ATTORNEY RICHMOND COU,Computer Programmer,2,"Technology, Data & Innovation",47692.0,65000.0,"130 Stuyvesant Place, S.I."
81,279697,DISTRICT ATTORNEY RICHMOND COU,Computer Programmer,2,"Technology, Data & Innovation",47692.0,65000.0,"130 Stuyvesant Place, S.I."
82,279709,DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,2,"Engineering, Architecture, & Planning",63074.0,91347.0,"96-05 Horace Harding Expway Corona, NY  11368"
83,279709,DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 1,2,"Engineering, Architecture, & Planning",63074.0,91347.0,"96-05 Horace Harding Expway Corona, NY  11368"
84,280574,DEPARTMENT OF TRANSPORTATION,Mechanical Engineer 3,1,"Engineering, Architecture, & Planning",83887.0,113725.0,"59 Maiden Lane, NY, NY"
85,280574,DEPARTMENT OF TRANSPORTATION,Mechanical Engineer 3,1,"Engineering, Architecture, & Planning",83887.0,113725.0,"59 Maiden Lane, NY, NY"
86,280589,DEPARTMENT OF TRANSPORTATION,Civil Engineer 3,2,"Engineering, Architecture, & Planning",83887.0,113725.0,"59 Maiden Lane, NY, NY"
87,280589,DEPARTMENT OF TRANSPORTATION,Civil Engineer 3,2,"Engineering, Architecture, & Planning",83887.0,113725.0,"59 Maiden Lane, NY, NY"
88,281524,DEPT OF ENVIRONMENT PROTECTION,Deputy Director of Payroll and Timekeeping,1,Administration & Human Resources,63817.0,95022.0,59-17 Junction Blvd Corona NY 11373
89,281922,DEPT OF ENVIRONMENT PROTECTION,CONTRACTS ATTORNEY,1,"Legal Affairs Policy, Research & Analysis",57944.0,70353.0,59-17 Junction Blvd Flushing NY 11373
90,281922,DEPT OF ENVIRONMENT PROTECTION,CONTRACTS ATTORNEY,1,"Legal Affairs Policy, Research & Analysis",57944.0,70353.0,59-17 Junction Blvd Flushing NY 11373
91,282254,DEPT OF INFO TECH & TELECOMM,Supervisor for Leaves and Supplementary Benefits,1,Administration & Human Resources,49748.0,75000.0,"Manhattan, NY"
92,282746,DEPARTMENT OF TRANSPORTATION,Administrative Transportation Coordinator M-I,1,Administration & Human Resources,54643.0,150371.0,"34-02 Queens Boulevard Long Island City, N.Y.  11101"
93,282746,DEPARTMENT OF TRANSPORTATION,Administrative Transportation Coordinator M-I,1,Administration & Human Resources,54643.0,150371.0,"34-02 Queens Boulevard Long Island City, N.Y.  11101"
94,283097,DEPT OF ENVIRONMENT PROTECTION,Policy Advisor,2,"Policy, Research & Analysis",55000.0,80000.0,253 Broadway New York NY 10007
95,283097,DEPT OF ENVIRONMENT PROTECTION,Policy Advisor,2,"Policy, Research & Analysis",55000.0,80000.0,253 Broadway New York NY 10007
96,283383,DEPT OF ENVIRONMENT PROTECTION,Supervisor Watershed Maintenance I,1,Building Operations & Maintenance,58786.0,71502.0,"182 Joline Ave, Staten Isl"
97,283480,DEPARTMENT OF TRANSPORTATION,Hiring Plan Analyst,1,"Administration & Human Resources Policy, Research & Analysis",65731.0,97873.0,55 Water St Ny Ny
98,284447,DEPARTMENT OF TRANSPORTATION,Electrician,2,Building Operations & Maintenance,343.0,343.0,"88-20 Pitkin Ave., Ozone Park             ***IN ORDER TO BE CONSIDERED FOR THIS POSITION CANDIDATES MUST BE SERVING PERMANENTLY IN THE TITLE OF ELECTRICIAN***"
99,284447,DEPARTMENT OF TRANSPORTATION,Electrician,2,Building Operations & Maintenance,343.0,343.0,"88-20 Pitkin Ave., Ozone Park             ***IN ORDER TO BE CONSIDERED FOR THIS POSITION CANDIDATES MUST BE SERVING PERMANENTLY IN THE TITLE OF ELECTRICIAN***"
100,284794,DEPARTMENT OF TRANSPORTATION,Admin Engineer (NM),1,"Engineering, Architecture, & Planning",49990.0,136023.0,TO BE DETERMINED
101,284794,DEPARTMENT OF TRANSPORTATION,Admin Engineer (NM),1,"Engineering, Architecture, & Planning",49990.0,136023.0,TO BE DETERMINED
102,284917,DEPARTMENT OF TRANSPORTATION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",74990.0,104182.0,TO BE DETERMINED
103,284917,DEPARTMENT OF TRANSPORTATION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",74990.0,104182.0,TO BE DETERMINED
104,284936,DEPT OF ENVIRONMENT PROTECTION,QUALITY ASSURANCE SPECIALIST,1,Building Operations & Maintenance,55000.0,64357.0,59-17 Junction Blvd Corona Ny
105,284936,DEPT OF ENVIRONMENT PROTECTION,QUALITY ASSURANCE SPECIALIST,1,Building Operations & Maintenance,55000.0,64357.0,59-17 Junction Blvd Corona Ny
106,285409,DEPT OF ENVIRONMENT PROTECTION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",74990.0,104182.0,"96-05 Horace Harding Expway Corona, NY  11368"
107,285409,DEPT OF ENVIRONMENT PROTECTION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",74990.0,104182.0,"96-05 Horace Harding Expway Corona, NY  11368"
108,285463,POLICE DEPARTMENT,"Deputy Director of Support and Special Services, M-II",1,"Administration & Human Resources Public Safety, Inspections, & Enforcement",60435.0,161497.0,"28-11 Queens Plaza No., L.I.C."
109,285539,DEPARTMENT OF TRANSPORTATION,Civil Engineer 3,1,"Engineering, Architecture, & Planning",83887.0,113725.0,"55 Water Street, NY, NY"
110,285539,DEPARTMENT OF TRANSPORTATION,Civil Engineer 3,1,"Engineering, Architecture, & Planning",83887.0,113725.0,"55 Water Street, NY, NY"
111,285563,DEPT OF ENVIRONMENT PROTECTION,EHS Management Systems Specialist,1,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",62493.0,94549.0,59-17 Junction Blvd Corona Ny
112,285563,DEPT OF ENVIRONMENT PROTECTION,EHS Management Systems Specialist,1,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",62493.0,94549.0,59-17 Junction Blvd Corona Ny
113,285584,DEPARTMENT OF TRANSPORTATION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",74990.0,104182.0,"55 Water Street, NY, NY"
114,285584,DEPARTMENT OF TRANSPORTATION,Civil Engineer 2,1,"Engineering, Architecture, & Planning",74990.0,104182.0,"55 Water Street, NY, NY"
115,286815,DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),5,Building Operations & Maintenance,94983.12,94983.12,CITYWIDE
116,286815,DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),5,Building Operations & Maintenance,94983.12,94983.12,CITYWIDE
117,286937,DEPT OF ENVIRONMENT PROTECTION,BUYER,2,"Finance, Accounting, & Procurement",50362.0,78177.0,"59-17 Junction Blvd Flushing, NY 11373"
118,286937,DEPT OF ENVIRONMENT PROTECTION,BUYER,2,"Finance, Accounting, & Procurement",50362.0,78177.0,"59-17 Junction Blvd Flushing, NY 11373"
119,287393,DEPT OF ENVIRONMENT PROTECTION,"Assistant Commissioner, Capital Planning & Delivery",1,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",175000.0,190000.0,96-05 Horace Harding Expway
120,287393,DEPT OF ENVIRONMENT PROTECTION,"Assistant Commissioner, Capital Planning & Delivery",1,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement Building Operations & Maintenance Public Safety, Inspections, & Enforcement",175000.0,190000.0,96-05 Horace Harding Expway
121,289636,DEPARTMENT OF TRANSPORTATION,Plumber,1,Building Operations & Maintenance,361.48,361.48,88-26 Pitkin Avenue
122,289688,DEPT OF ENVIRONMENT PROTECTION,CONTRACTS ATTORNEY,1,"Legal Affairs Policy, Research & Analysis",57944.0,70353.0,59-17 Junction Blvd Flushing NY 11373
123,289688,DEPT OF ENVIRONMENT PROTECTION,CONTRACTS ATTORNEY,1,"Legal Affairs Policy, Research & Analysis",57944.0,70353.0,59-17 Junction Blvd Flushing NY 11373
124,289818,DEPT OF ENVIRONMENT PROTECTION,Assistant Procurement Liaison,1,"Finance, Accounting, & Procurement",40000.0,63456.0,59-17 Junction Blvd Corona NY
125,289985,DEPT OF ENVIRONMENT PROTECTION,Clerical Associate (Part-Time),1,"Public Safety, Inspections, & Enforcement",15.0224,24.3377,96-05 Horace Harding Expway
126,289985,DEPT OF ENVIRONMENT PROTECTION,Clerical Associate (Part-Time),1,"Public Safety, Inspections, & Enforcement",15.0224,24.3377,96-05 Horace Harding Expway
127,289990,DEPARTMENT OF TRANSPORTATION,Asst Highway Transportation Specialist,1,"Engineering, Architecture, & Planning",45919.0,67556.0,"55 Water Street, NY, NY"
128,289990,DEPARTMENT OF TRANSPORTATION,Asst Highway Transportation Specialist,1,"Engineering, Architecture, & Planning",45919.0,67556.0,"55 Water Street, NY, NY"
129,289997,DEPT OF ENVIRONMENT PROTECTION,Supervisor (Watershed Maintenance),1,Building Operations & Maintenance,58786.0,71502.0,"2 Murray Hulbert Ave., Staten Island, NY"
130,289997,DEPT OF ENVIRONMENT PROTECTION,Supervisor (Watershed Maintenance),1,Building Operations & Maintenance,58786.0,71502.0,"2 Murray Hulbert Ave., Staten Island, NY"
131,291589,POLICE DEPARTMENT,Associate Staff Analyst,1,"Administration & Human Resources Finance, Accounting, & Procurement",65731.0,97873.0,"130-30 28th Ave, College Point, NY 11354"
132,291665,DEPT OF ENVIRONMENT PROTECTION,Dam Safety Coordinator,1,"Engineering, Architecture, & Planning",63074.0,91347.0,"20 NYC Highway 30A  Downsville, NY 13755"
133,291665,DEPT OF ENVIRONMENT PROTECTION,Dam Safety Coordinator,1,"Engineering, Architecture, & Planning",63074.0,91347.0,"20 NYC Highway 30A  Downsville, NY 13755"
134,291742,DEPARTMENT OF TRANSPORTATION,Bridge Operator,15,Building Operations & Maintenance,34554.0,46669.0,"345 East 59th Street, NY, NY"
135,291742,DEPARTMENT OF TRANSPORTATION,Bridge Operator,15,Building Operations & Maintenance,34554.0,46669.0,"345 East 59th Street, NY, NY"
136,291746,DEPT OF ENVIRONMENT PROTECTION,FMS Acceptance Coordinator,1,"Finance, Accounting, & Procurement",37251.0,58478.0,59-17 Junction Blvd Corona NY 11373
137,292091,DEPT OF ENVIRONMENT PROTECTION,Timekeeping Specialist,1,Administration & Human Resources,37251.0,58478.0,59-17 Junction Blvd Corona NY 11373
138,292093,OFFICE OF MANAGEMENT & BUDGET,ECONOMIC ANALYSIS UNIT  ANALYST,1,"Finance, Accounting, & Procurement Policy, Research & Analysis",58162.0,65433.0,"255 Greenwich Street New York, NY 10007"
139,292093,OFFICE OF MANAGEMENT & BUDGET,ECONOMIC ANALYSIS UNIT  ANALYST,1,"Finance, Accounting, & Procurement Policy, Research & Analysis",58162.0,65433.0,"255 Greenwich Street New York, NY 10007"
140,292969,POLICE DEPARTMENT,"Bookkeeper, Level III",1,"Administration & Human Resources Finance, Accounting, & Procurement",43473.0,63386.0,"1 Police Plaza, N.Y."
141,293697,DEPARTMENT OF TRANSPORTATION,Civil Engineer 1,5,"Engineering, Architecture, & Planning",63074.0,91347.0,TO BE DETERMINED
142,293697,DEPARTMENT OF TRANSPORTATION,Civil Engineer 1,5,"Engineering, Architecture, & Planning",63074.0,91347.0,TO BE DETERMINED
143,294977,POLICE DEPARTMENT,Staff Analyst Level II,1,"Administration & Human Resources Finance, Accounting, & Procurement",58152.0,74479.0,"1 Police Plaza, N.Y."
144,295648,POLICE DEPARTMENT,Civilianization Manager,1,"Administration & Human Resources Policy, Research & Analysis",54643.0,150371.0,"1 Police Plaza, N.Y."
145,296173,DEPT OF ENVIRONMENT PROTECTION,Budget Analyst,1,"Finance, Accounting, & Procurement",46069.0,68181.0,59-17 Junction Blvd Corona NY
146,296939,LAW DEPARTMENT,Service Desk Manager,1,"Technology, Data & Innovation",57223.0,85259.0,"100 Church St., N.Y."
147,299080,DEPARTMENT OF TRANSPORTATION,Civil Engineer 3,2,"Engineering, Architecture, & Planning",83887.0,113725.0,"55 Water Street, NY, NY"
148,300114,DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager I,1,"Engineering, Architecture, & Planning",63074.0,91347.0,Brooklyn Water and Sewer Local Records Office
149,300114,DEPT OF ENVIRONMENT PROTECTION,Associate Project Manager I,1,"Engineering, Architecture, & Planning",63074.0,91347.0,Brooklyn Water and Sewer Local Records Office
150,300626,POLICE DEPARTMENT,Stock Worker Level II,1,Building Operations & Maintenance,34350.0,51360.0,"1 Police Plaza, N.Y."
151,301758,DEPARTMENT OF TRANSPORTATION,Electrician,2,Building Operations & Maintenance,373.03,373.03,"58-50 57th Road  Maspeth, N.Y. / Various"
152,301758,DEPARTMENT OF TRANSPORTATION,Electrician,2,Building Operations & Maintenance,373.03,373.03,"58-50 57th Road  Maspeth, N.Y. / Various"
153,301985,POLICE DEPARTMENT,"Agency Attorney, Level III",1,Legal Affairs,73938.0,109153.0,"1 Police Plaza, N.Y."
154,302669,DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),1,"Engineering, Architecture, & Planning",45.49,45.49,CITYWIDE
155,302669,DEPT OF ENVIRONMENT PROTECTION,Stationary Engineer (Electric),1,"Engineering, Architecture, & Planning",45.49,45.49,CITYWIDE
156,302670,DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,1,"Engineering, Architecture, & Planning",53134.0,79726.0,"Boro Hall Richmond, Staten Isl"
157,302670,DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,1,"Engineering, Architecture, & Planning",53134.0,79726.0,"Boro Hall Richmond, Staten Isl"
158,303081,DEPT OF ENVIRONMENT PROTECTION,Policy Advisor,1,"Policy, Research & Analysis",50362.0,70000.0,253 Broadway New York NY
159,303081,DEPT OF ENVIRONMENT PROTECTION,Policy Advisor,1,"Policy, Research & Analysis",50362.0,70000.0,253 Broadway New York NY
160,307249,DEPT OF ENVIRONMENT PROTECTION,E-Learning Content Developer (Per Diem),1,"Technology, Data & Innovation",26.104,36.0411,59-17 Junction Blvd Corona Ny
161,307249,DEPT OF ENVIRONMENT PROTECTION,E-Learning Content Developer (Per Diem),1,"Technology, Data & Innovation",26.104,36.0411,59-17 Junction Blvd Corona Ny
162,308043,POLICE DEPARTMENT,"Administrative Contract Specialist, M-I",1,"Finance, Accounting, & Procurement",54643.0,150371.0,Grants and Budget Division
