index,agency,numOfPositions,businessTitle,jobCategory,newLat,newLong,borough,salaryRangeTo,salaryRangeFrom,salaryFrequency,zip,jobCatCondensed
12,DEPT OF INFO TECH & TELECOMM,1,311 Call Center Manager,Community & Business Services,40.7087357,-74.0081164,Manhattan,69000.0,49492.0,Annual,10038.0,Service
13,DEPT OF HEALTH/MENTAL HYGIENE,1,"Clerical Associate, Bureau of Vital Statistics",Clerical & Administrative Support,40.7157524,-74.002517,Manhattan,51981.0,32086.0,Annual,10013.0,"Technical, Sales, and Administrative"
14,DEPT OF INFO TECH & TELECOMM,1,Application Support Reporting Specialist,Information Technology & Telecommunications,40.693364,-73.9857147,Brooklyn,95896.0,81290.0,Annual,11201.0,Other
15,DEPT OF HEALTH/MENTAL HYGIENE,1,Audits & Accounts Analyst,"Finance, Accounting, & Procurement",40.7383514,-73.97570259999998,Manhattan,55000.0,44735.0,Annual,10016.0,Other
16,DEPT OF HEALTH/MENTAL HYGIENE,1,Audits & Accounts Analyst,"Finance, Accounting, & Procurement",40.7383514,-73.97570259999998,Manhattan,55000.0,44735.0,Annual,10016.0,Other
17,DEPT OF INFO TECH & TELECOMM,1,GIS Analyst,Information Technology & Telecommunications,40.693364,-73.9857147,Brooklyn,62370.0,45174.0,Annual,11201.0,Other
18,LAW DEPARTMENT,1,Facilities Central Supervisor,Clerical & Administrative Support,40.713299299999996,-74.0101098,Manhattan,51981.0,32086.0,Annual,10007.0,"Technical, Sales, and Administrative"
19,DEPT OF INFO TECH & TELECOMM,1,"Director, Infrastructure Build Coordinator",Information Technology & Telecommunications,40.693364,-73.9857147,Brooklyn,100000.0,49492.0,Annual,11201.0,Other
20,LAW DEPARTMENT,3,Paralegal Aide,Clerical & Administrative Support Legal,40.713299299999996,-74.0101098,Manhattan,53300.0,38089.0,Annual,10007.0,"Technical, Sales, and Administrative"
21,ADMIN FOR CHILDREN'S SVCS,1,Network Engineer I LAN/WAN,Information Technology & Telecommunications,40.7096402,-74.0057361,Manhattan,98163.0,72260.0,Annual,10038.0,Other
22,ADMIN FOR CHILDREN'S SVCS,1,Network Engineer I LAN/WAN,Information Technology & Telecommunications,40.7096402,-74.0057361,Manhattan,98163.0,72260.0,Annual,10038.0,Other
23,DEPT OF INFO TECH & TELECOMM,1,Research Assistant,Clerical & Administrative Support Legal,40.7144626,-74.01097970000001,Manhattan,60611.0,40055.0,Annual,10007.0,"Technical, Sales, and Administrative"
24,DEPARTMENT OF TRANSPORTATION,1,Systems Administrator - Computer Software,Information Technology & Telecommunications,40.7033226,-74.00889620000001,Manhattan,114954.0,81290.0,Annual,10041.0,Other
25,DEPARTMENT OF TRANSPORTATION,1,Systems Administrator - Computer Software,Information Technology & Telecommunications,40.7033226,-74.00889620000001,Manhattan,114954.0,81290.0,Annual,10041.0,Other
26,DEPT OF INFO TECH & TELECOMM,1,311 Call Center Manager,Clerical & Administrative Support Community & Business Services,40.7087357,-74.0081164,Manhattan,72000.0,53373.0,Annual,10038.0,"Technical, Sales, and Administrative"
27,ADMIN FOR CHILDREN'S SVCS,2,Tracking and Monitoring Data Analyst,Social Services,40.708865700000004,-74.0078458,Manhattan,88649.0,59536.0,Annual,10038.0,Service
28,ADMIN FOR CHILDREN'S SVCS,2,Tracking and Monitoring Data Analyst,Social Services,40.708865700000004,-74.0078458,Manhattan,88649.0,59536.0,Annual,10038.0,Service
29,DEPT OF INFO TECH & TELECOMM,4,311 Escalation Line Team Leader,Community & Business Services,40.7087357,-74.0081164,Manhattan,49586.0,43118.0,Annual,10038.0,Service
30,DEPT OF ENVIRONMENT PROTECTION,1,"Deputy Commissioner, Wastewater Treatment","Engineering, Architecture, & Planning Maintenance & Operations",40.734879600000006,-73.86348939999998,Queens,198518.0,198518.0,Annual,11373.0,Operatives and Laborers
31,DEPT OF ENVIRONMENT PROTECTION,1,"Deputy Commissioner, Wastewater Treatment","Engineering, Architecture, & Planning Maintenance & Operations",40.734879600000006,-73.86348939999998,Queens,198518.0,198518.0,Annual,11373.0,Operatives and Laborers
32,DEPT OF HEALTH/MENTAL HYGIENE,5,Public Health Nurse (School Health),Health,40.8183027,-73.95577449999998,Manhattan,36.93,32.11,Hourly,10027.0,Other
33,DEPT OF HEALTH/MENTAL HYGIENE,5,Public Health Nurse (School Health),Health,40.8183027,-73.95577449999998,Manhattan,36.93,32.11,Hourly,10027.0,Other
34,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",Health,40.8183027,-73.95577449999998,Manhattan,52821.0,41452.0,Annual,10027.0,Other
35,DEPT OF INFO TECH & TELECOMM,1,Payroll Supervisor,Clerical & Administrative Support,40.7144626,-74.01097970000001,Manhattan,56249.0,33799.0,Annual,10007.0,"Technical, Sales, and Administrative"
36,DEPT OF HEALTH/MENTAL HYGIENE,1,"Public Health Advisor, Bureau of STD Prevention and Control",Health,40.691787,-73.98202940000002,Brooklyn,24.2923,18.8112,Hourly,11201.0,Other
37,DEPT OF HEALTH/MENTAL HYGIENE,1,"Office Clerk AOT, Bureau of Mental Health",Clerical & Administrative Support,40.749357200000006,-73.93906190000001,Queens,43152.0,28965.0,Annual,11101.0,"Technical, Sales, and Administrative"
38,DEPT OF HEALTH/MENTAL HYGIENE,1,"Office Clerk AOT, Bureau of Mental Health",Clerical & Administrative Support,40.749357200000006,-73.93906190000001,Queens,43152.0,28965.0,Annual,11101.0,"Technical, Sales, and Administrative"
39,DEPT OF INFO TECH & TELECOMM,1,311 Call Center Manager,Community & Business Services,40.7087357,-74.0081164,Manhattan,71000.0,64000.0,Annual,10038.0,Service
40,NYC HOUSING AUTHORITY,1,MAINTENANCE WORKER,Maintenance & Operations,40.763334,-73.976339,Manhattan,54580.32,51907.68,Annual,10019.0,Operatives and Laborers
41,NYC HOUSING AUTHORITY,1,MAINTENANCE WORKER,Maintenance & Operations,40.763334,-73.976339,Manhattan,54580.32,51907.68,Annual,10019.0,Operatives and Laborers
42,NYC EMPLOYEES RETIREMENT SYS,1,CERTIFIED IT ADMINISTRATOR (WAN),Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,134914.0,89383.0,Annual,11201.0,Other
43,NYC EMPLOYEES RETIREMENT SYS,1,CERTIFIED IT ADMINISTRATOR (WAN),Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,134914.0,89383.0,Annual,11201.0,Other
44,DEPT OF INFO TECH & TELECOMM,1,Payroll Data Associate,Clerical & Administrative Support,40.7144626,-74.01097970000001,Manhattan,50000.0,32888.0,Annual,10007.0,"Technical, Sales, and Administrative"
45,DEPT OF INFO TECH & TELECOMM,1,Senior Civil Service Advisor,Clerical & Administrative Support Policy & Analysis,40.7144626,-74.01097970000001,Manhattan,92704.0,62260.0,Annual,10007.0,"Technical, Sales, and Administrative"
46,ADMIN FOR CHILDREN'S SVCS,6,Director of Senior Practice Consultation,Social Services,40.7096402,-74.0057361,Manhattan,95000.0,58675.0,Annual,10038.0,Service
47,ADMIN FOR CHILDREN'S SVCS,6,Director of Senior Practice Consultation,Social Services,40.7096402,-74.0057361,Manhattan,95000.0,58675.0,Annual,10038.0,Service
48,DEPT OF HEALTH/MENTAL HYGIENE,1,"HIV Program Associate, Bureau of STD Prevention and Control",Health,40.749357200000006,-73.93906190000001,Queens,69042.0,48900.0,Annual,11101.0,Other
49,DEPT OF HEALTH/MENTAL HYGIENE,1,"HIV Program Associate, Bureau of STD Prevention and Control",Health,40.749357200000006,-73.93906190000001,Queens,69042.0,48900.0,Annual,11101.0,Other
50,DEPT OF INFO TECH & TELECOMM,1,Senior Quality Oversight Analyst,Information Technology & Telecommunications,40.7144626,-74.01097970000001,Manhattan,125000.0,58675.0,Annual,10007.0,Other
51,LAW DEPARTMENT,1,Computer Associate,Information Technology & Telecommunications,40.713299299999996,-74.0101098,Manhattan,82776.0,55556.0,Annual,10007.0,Other
52,LAW DEPARTMENT,1,Computer Associate,Information Technology & Telecommunications,40.713299299999996,-74.0101098,Manhattan,82776.0,55556.0,Annual,10007.0,Other
53,ADMIN FOR CHILDREN'S SVCS,7,Best Practices Coach,Social Services,40.7096402,-74.0057361,Manhattan,89008.0,66000.0,Annual,10038.0,Service
54,ADMIN FOR CHILDREN'S SVCS,7,Best Practices Coach,Social Services,40.7096402,-74.0057361,Manhattan,89008.0,66000.0,Annual,10038.0,Service
55,ADMIN FOR CHILDREN'S SVCS,9,Quality Improvement Specialist,Community & Business Services Social Services,40.7096402,-74.0057361,Manhattan,75900.0,48895.0,Annual,10038.0,Service
56,ADMIN FOR CHILDREN'S SVCS,9,Quality Improvement Specialist,Community & Business Services Social Services,40.7096402,-74.0057361,Manhattan,75900.0,48895.0,Annual,10038.0,Service
57,NYC EMPLOYEES RETIREMENT SYS,1,"CERTIFIED IT ADMINISTRATOR (LAN/WAN), LEVEL 4",Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,131623.0,87203.0,Annual,11201.0,Other
58,NYC EMPLOYEES RETIREMENT SYS,1,"CERTIFIED IT ADMINISTRATOR (LAN/WAN), LEVEL 4",Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,131623.0,87203.0,Annual,11201.0,Other
59,ADMIN FOR CHILDREN'S SVCS,1,Business and Data Analyst Manager,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,63817.0,Annual,10038.0,Other
60,ADMIN FOR CHILDREN'S SVCS,1,Business and Data Analyst Manager,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,63817.0,Annual,10038.0,Other
61,NYC EMPLOYEES RETIREMENT SYS,1,CERTIFIED IT ADMINISTRATOR (LAN/WAN),Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,98163.0,72260.0,Annual,11201.0,Other
62,NYC EMPLOYEES RETIREMENT SYS,1,CERTIFIED IT ADMINISTRATOR (LAN/WAN),Information Technology & Telecommunications,40.6934634,-73.9882453,Brooklyn,98163.0,72260.0,Annual,11201.0,Other
63,DEPT OF HEALTH/MENTAL HYGIENE,1,"Pest Control Aide, Bureau of Veterinary and Pest Control Services","Public Safety, Inspections, & Enforcement",40.797615,-73.9419066,Manhattan,32665.0,26457.0,Annual,10029.0,Managerial and Professional
64,DEPT OF HEALTH/MENTAL HYGIENE,1,"Pest Control Aide, Bureau of Veterinary and Pest Control Services","Public Safety, Inspections, & Enforcement",40.797615,-73.9419066,Manhattan,32665.0,26457.0,Annual,10029.0,Managerial and Professional
65,ADMIN FOR CHILDREN'S SVCS,1,Deputy Budget Director,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,156793.0,58675.0,Annual,10038.0,Other
66,ADMIN FOR CHILDREN'S SVCS,1,Deputy Budget Director,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,156793.0,58675.0,Annual,10038.0,Other
67,ADMIN FOR CHILDREN'S SVCS,1,Senior Budget Analyst,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,63817.0,Annual,10038.0,Other
68,ADMIN FOR CHILDREN'S SVCS,1,Senior Budget Analyst,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,63817.0,Annual,10038.0,Other
69,ADMIN FOR CHILDREN'S SVCS,1,Trauma-Informed Early Care and Education Case Supervisor,Social Services,40.708865700000004,-74.0078458,Manhattan,82455.0,60049.0,Annual,10038.0,Service
70,ADMIN FOR CHILDREN'S SVCS,1,Trauma-Informed Early Care and Education Case Supervisor,Social Services,40.708865700000004,-74.0078458,Manhattan,82455.0,60049.0,Annual,10038.0,Service
71,ADMIN FOR CHILDREN'S SVCS,1,APA Foster Care Program Evaluator,Policy & Analysis Social Services,40.7096402,-74.0057361,Manhattan,89008.0,60049.0,Annual,10038.0,Service
72,ADMIN FOR CHILDREN'S SVCS,1,APA Foster Care Program Evaluator,Policy & Analysis Social Services,40.7096402,-74.0057361,Manhattan,89008.0,60049.0,Annual,10038.0,Service
73,ADMIN FOR CHILDREN'S SVCS,1,Child Welfare Trainer,Community & Business Services Social Services,40.7400973,-73.97559229999999,Manhattan,75900.0,48895.0,Annual,10016.0,Service
74,ADMIN FOR CHILDREN'S SVCS,1,Child Welfare Trainer,Community & Business Services Social Services,40.7400973,-73.97559229999999,Manhattan,75900.0,48895.0,Annual,10016.0,Service
75,ADMIN FOR CHILDREN'S SVCS,1,Child Welfare Analyst,Information Technology & Telecommunications Policy & Analysis Social Services,40.7096402,-74.0057361,Manhattan,85644.0,68239.0,Annual,10038.0,Service
76,ADMIN FOR CHILDREN'S SVCS,1,Child Welfare Analyst,Information Technology & Telecommunications Policy & Analysis Social Services,40.7096402,-74.0057361,Manhattan,85644.0,68239.0,Annual,10038.0,Service
77,ADMIN FOR CHILDREN'S SVCS,1,Asset Management Specialist,Social Services,40.7096402,-74.0057361,Manhattan,67568.0,46405.0,Annual,10038.0,Service
78,ADMIN FOR CHILDREN'S SVCS,1,Asset Management Specialist,Social Services,40.7096402,-74.0057361,Manhattan,67568.0,46405.0,Annual,10038.0,Service
79,ADMIN FOR CHILDREN'S SVCS,1,Directory Services Support,Information Technology & Telecommunications,40.7096402,-74.0057361,Manhattan,83440.0,60189.0,Annual,10038.0,Other
80,ADMIN FOR CHILDREN'S SVCS,1,Directory Services Support,Information Technology & Telecommunications,40.7096402,-74.0057361,Manhattan,83440.0,60189.0,Annual,10038.0,Other
81,DEPT OF HEALTH/MENTAL HYGIENE,8,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",Health,40.8183027,-73.95577449999998,Manhattan,36.93,32.11,Hourly,10027.0,Other
82,DEPT OF HEALTH/MENTAL HYGIENE,8,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",Health,40.8183027,-73.95577449999998,Manhattan,36.93,32.11,Hourly,10027.0,Other
83,DEPT OF INFO TECH & TELECOMM,1,IP Telephony Design Engineer,Information Technology & Telecommunications,40.693364,-73.9857147,Brooklyn,125000.0,87203.0,Annual,11201.0,Other
84,ADMIN FOR CHILDREN'S SVCS,2,Policy Writer,Legal Policy & Analysis,40.7096402,-74.0057361,Manhattan,87027.0,57005.0,Annual,10038.0,Other
85,ADMIN FOR CHILDREN'S SVCS,2,Policy Writer,Legal Policy & Analysis,40.7096402,-74.0057361,Manhattan,87027.0,57005.0,Annual,10038.0,Other
86,ADMIN FOR CHILDREN'S SVCS,1,Supervising Budget Analyst Early Care &Education,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,61031.0,Annual,10038.0,Other
87,ADMIN FOR CHILDREN'S SVCS,1,Supervising Budget Analyst Early Care &Education,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,61031.0,Annual,10038.0,Other
88,POLICE DEPARTMENT,3,Civilian Investigator,"Public Safety, Inspections, & Enforcement",40.712110100000004,-74.0018864,Manhattan,59863.0,37492.0,Annual,10007.0,Managerial and Professional
89,LAW DEPARTMENT,3,Claim Specialist,Clerical & Administrative Support Legal,40.7033226,-74.00889620000001,Manhattan,59863.0,37492.0,Annual,10041.0,"Technical, Sales, and Administrative"
90,LAW DEPARTMENT,3,Claim Specialist,Clerical & Administrative Support Legal,40.7033226,-74.00889620000001,Manhattan,59863.0,37492.0,Annual,10041.0,"Technical, Sales, and Administrative"
91,DEPARTMENT OF TRANSPORTATION,1,Principal Administrative Associate I,Clerical & Administrative Support,40.744136299999994,-73.930965,Queens,62779.0,42856.0,Annual,11101.0,"Technical, Sales, and Administrative"
92,DEPARTMENT OF TRANSPORTATION,1,Principal Administrative Associate I,Clerical & Administrative Support,40.744136299999994,-73.930965,Queens,62779.0,42856.0,Annual,11101.0,"Technical, Sales, and Administrative"
93,LAW DEPARTMENT,1,Senior Windows Administrator,Information Technology & Telecommunications,40.713299299999996,-74.0101098,Manhattan,99406.0,77157.0,Annual,10007.0,Other
94,DEPARTMENT OF TRANSPORTATION,1,Investigator,"Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,59863.0,37492.0,Annual,10041.0,Managerial and Professional
95,DEPARTMENT OF TRANSPORTATION,1,Investigator,"Public Safety, Inspections, & Enforcement",40.7033226,-74.00889620000001,Manhattan,59863.0,37492.0,Annual,10041.0,Managerial and Professional
96,DEPARTMENT OF TRANSPORTATION,1,Admin Engineer (NM),"Engineering, Architecture, & Planning",40.7033226,-74.00889620000001,Manhattan,132061.0,48535.0,Annual,10041.0,Other
97,DEPARTMENT OF TRANSPORTATION,1,Admin Engineer (NM),"Engineering, Architecture, & Planning",40.7033226,-74.00889620000001,Manhattan,132061.0,48535.0,Annual,10041.0,Other
98,ADMIN FOR CHILDREN'S SVCS,2,Juvenile Justice Trainer,Social Services,40.7400973,-73.97559229999999,Manhattan,145991.0,53051.0,Annual,10016.0,Service
99,ADMIN FOR CHILDREN'S SVCS,2,Juvenile Justice Trainer,Social Services,40.7400973,-73.97559229999999,Manhattan,145991.0,53051.0,Annual,10016.0,Service
100,ADMIN FOR CHILDREN'S SVCS,1,IT Infrastructure Project Manager,Information Technology & Telecommunications,40.7096402,-74.0057361,Manhattan,92308.0,74066.0,Annual,10038.0,Other
101,ADMIN FOR CHILDREN'S SVCS,1,IT Infrastructure Project Manager,Information Technology & Telecommunications,40.7096402,-74.0057361,Manhattan,92308.0,74066.0,Annual,10038.0,Other
102,DEPARTMENT OF TRANSPORTATION,1,Staff Analyst 2,"Finance, Accounting, & Procurement",40.7033226,-74.00889620000001,Manhattan,72310.0,56458.0,Annual,10041.0,Other
103,ADMIN FOR CHILDREN'S SVCS,1,Compliance Review Unit Supervisor,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,63817.0,Annual,10038.0,Other
104,ADMIN FOR CHILDREN'S SVCS,1,Compliance Review Unit Supervisor,"Finance, Accounting, & Procurement",40.7096402,-74.0057361,Manhattan,95022.0,63817.0,Annual,10038.0,Other
105,DEPT OF ENVIRONMENT PROTECTION,1,Budget Analyst,"Finance, Accounting, & Procurement Policy & Analysis",40.7348102,-73.8644434,Queens,64927.0,56458.0,Annual,11373.0,Other
106,DEPT OF ENVIRONMENT PROTECTION,2,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,52000.0,52000.0,Annual,11373.0,Other
107,DEPT OF ENVIRONMENT PROTECTION,2,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,52000.0,52000.0,Annual,11373.0,Other
108,LAW DEPARTMENT,1,Office Manager,Clerical & Administrative Support,40.82585600000001,-73.921089,The Bronx,53281.0,32888.0,Annual,10451.0,"Technical, Sales, and Administrative"
109,LAW DEPARTMENT,1,Senior Windows Administrator,Information Technology & Telecommunications,40.713299299999996,-74.0101098,Manhattan,90202.0,64807.0,Annual,10007.0,Other
110,LAW DEPARTMENT,1,Senior Windows Administrator,Information Technology & Telecommunications,40.713299299999996,-74.0101098,Manhattan,90202.0,64807.0,Annual,10007.0,Other
111,LAW DEPARTMENT,1,Computer Associate,Information Technology & Telecommunications,40.713299299999996,-74.0101098,Manhattan,83440.0,60189.0,Annual,10007.0,Other
112,LAW DEPARTMENT,1,Computer Associate,Information Technology & Telecommunications,40.713299299999996,-74.0101098,Manhattan,83440.0,60189.0,Annual,10007.0,Other
113,DEPT OF ENVIRONMENT PROTECTION,1,Mechanical Engineer,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,101148.0,72805.0,Annual,11373.0,Other
114,DEPT OF ENVIRONMENT PROTECTION,1,Mechanical Engineer,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,101148.0,72805.0,Annual,11373.0,Other
115,LAW DEPARTMENT,1,Paralegal Assistant Supervisor,Administration & Human Resources Legal Affairs,40.713299299999996,-74.0101098,Manhattan,54633.0,39041.0,Annual,10007.0,Other
116,DEPT OF ENVIRONMENT PROTECTION,1,Retrofit Accelerator Outreach and Marketing Coordinator,"Finance, Accounting, & Procurement Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,75900.0,48895.0,Annual,10007.0,Other
117,DEPT OF ENVIRONMENT PROTECTION,1,Retrofit Accelerator Outreach and Marketing Coordinator,"Finance, Accounting, & Procurement Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,75900.0,48895.0,Annual,10007.0,Other
118,DEPT OF ENVIRONMENT PROTECTION,4,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,77404.0,51586.0,Annual,11373.0,Other
119,DEPT OF ENVIRONMENT PROTECTION,4,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",40.7348102,-73.8644434,Queens,77404.0,51586.0,Annual,11373.0,Other
120,DEPT OF ENVIRONMENT PROTECTION,1,Machinist,Building Operations & Maintenance,41.1071626,-73.7815093,Queens,35.95,35.95,Hourly,10595.0,Operatives and Laborers
121,DEPT OF ENVIRONMENT PROTECTION,1,Machinist,Building Operations & Maintenance,41.1071626,-73.7815093,Queens,35.95,35.95,Hourly,10595.0,Operatives and Laborers
122,DEPT OF INFO TECH & TELECOMM,1,Senior Technology Analyst/Coordinator,"Technology, Data & Innovation",40.693364,-73.9857147,Brooklyn,71294.0,61995.0,Annual,11201.0,Other
123,DEPT OF ENVIRONMENT PROTECTION,1,Electrical Engineer 3,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,110413.0,81443.0,Annual,11373.0,Other
124,DEPT OF ENVIRONMENT PROTECTION,1,Electrical Engineer 3,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,110413.0,81443.0,Annual,11373.0,Other
125,DEPT OF ENVIRONMENT PROTECTION,1,Civil Engineer 2,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,101148.0,72805.0,Annual,11373.0,Other
126,DEPT OF ENVIRONMENT PROTECTION,1,Civil Engineer 2,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,101148.0,72805.0,Annual,11373.0,Other
127,DEPT OF HEALTH/MENTAL HYGIENE,1,"Instructor, Division of Environmental Health, Bureau of Environmental Administration (Health Academy)",Health,40.8410669,-73.940253,Manhattan,84641.0,54457.0,Annual,10032.0,Other
128,DEPT OF ENVIRONMENT PROTECTION,2,Associate Public Health Sanitarian 2,Health,40.734879600000006,-73.86348939999998,Queens,91795.0,60673.0,Annual,11373.0,Other
129,DEPT OF ENVIRONMENT PROTECTION,2,Associate Public Health Sanitarian 2,Health,40.734879600000006,-73.86348939999998,Queens,91795.0,60673.0,Annual,11373.0,Other
130,DEPARTMENT OF TRANSPORTATION,1,Senior Port Engineer,"Engineering, Architecture, & Planning Building Operations & Maintenance",40.64347720000001,-74.0725099,Staten Island,135000.0,60435.0,Annual,10301.0,Operatives and Laborers
131,DEPARTMENT OF TRANSPORTATION,1,Senior Port Engineer,"Engineering, Architecture, & Planning Building Operations & Maintenance",40.64347720000001,-74.0725099,Staten Island,135000.0,60435.0,Annual,10301.0,Operatives and Laborers
132,NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",40.6934634,-73.9882453,Brooklyn,102388.0,79471.0,Annual,11201.0,Other
133,NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",40.6934634,-73.9882453,Brooklyn,102388.0,79471.0,Annual,11201.0,Other
134,NYC HOUSING AUTHORITY,1,Landscape Architect,"Engineering, Architecture, & Planning",39.013209,-94.58058,Brooklyn,91347.0,63074.0,Annual,64110.0,Other
135,NYC HOUSING AUTHORITY,1,Landscape Architect,"Engineering, Architecture, & Planning",39.013209,-94.58058,Brooklyn,91347.0,63074.0,Annual,64110.0,Other
136,DEPT OF ENVIRONMENT PROTECTION,2,Senior Project Manager,"Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,80000.0,49990.0,Annual,10007.0,Other
137,DEPT OF ENVIRONMENT PROTECTION,2,Senior Project Manager,"Policy, Research & Analysis",40.7134096,-74.00752309999999,Manhattan,80000.0,49990.0,Annual,10007.0,Other
138,DEPT OF ENVIRONMENT PROTECTION,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,79726.0,53134.0,Annual,11373.0,Other
139,DEPT OF ENVIRONMENT PROTECTION,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",40.734879600000006,-73.86348939999998,Queens,79726.0,53134.0,Annual,11373.0,Other
140,LAW DEPARTMENT,1,Student Legal Specialist,Communications & Intergovernmental Affairs,40.713299299999996,-74.0101098,Manhattan,41710.0,36270.0,Annual,10007.0,Other
141,LAW DEPARTMENT,1,Student Legal Specialist,Communications & Intergovernmental Affairs,40.713299299999996,-74.0101098,Manhattan,41710.0,36270.0,Annual,10007.0,Other
142,NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",40.6934634,-73.9882453,Brooklyn,150371.0,54643.0,Annual,11201.0,Other
143,NYC EMPLOYEES RETIREMENT SYS,1,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",40.6934634,-73.9882453,Brooklyn,150371.0,54643.0,Annual,11201.0,Other
144,DEPT OF ENVIRONMENT PROTECTION,3,SUPERVISOR OF STOCK WORKERS I,Building Operations & Maintenance,40.71444279999999,-73.9287523,Brooklyn,55526.0,35951.0,Annual,11237.0,Operatives and Laborers
